Food_Item,Category,Portion_Name,Grams_Per_Portion,Calories_Kcal,Protein_g,Carbs_g,Fat_g
Plain Roti/Chapati,Bread,piece,30,75,3,15,0.5
Aloo Paratha (Plain),Bread,piece,100,220,6,30,8
Butter Naan,Bread,piece,120,310,9,55,5
Poori (Fried),Bread,piece,50,150,3,15,9
Basmati Rice (cooked),Grain,cup,180,205,4,45,0.5
Jeera Rice,Grain,cup,200,280,5,55,5
Vegetable Biryani,Rice Dish,cup,250,350,10,50,12
Chicken Biryani,Rice Dish,cup,250,450,25,40,20
Sambar,Lentil/Soup,cup,200,110,5,20,1
Toor Dal (Cooked),Lentil,cup,200,160,12,25,2
Dal Makhani,Lentil,cup,200,310,14,35,15
Rajma Masala (Cooked),Lentil/Curry,cup,200,280,15,35,8
Palak Paneer,Vegetable Curry,cup,200,290,16,8,22
Matar Paneer,Vegetable Curry,cup,200,260,14,20,14
Aloo Gobi,Vegetable Curry,cup,180,200,5,25,10
Bhindi Masala (Okra),Vegetable Curry,cup,150,150,4,15,8
Chole Bhature (1 Bhatura),Curry/Bread,plate,250,550,15,65,25
Butter Chicken,Curry (Non-Veg),cup,200,480,35,10,33
Chicken Curry,Curry (Non-Veg),cup,200,350,30,10,20
Fish Fry (Pomfret),Non-Veg,100g,100,220,25,5,12
Chicken Kebab (Seekh),Non-Veg,1 skewer,70,150,20,2,7
Plain Dosa,South Indian,piece,70,110,3,22,1
Masala Dosa,South Indian,piece,150,330,7,55,9
Idli (Plain),South Indian,2 pieces,100,120,4,24,0.5
Vada (Medu Vada),South Indian,1 piece,80,100,3,15,4
Uttapam (Veg),South Indian,1 piece,150,200,5,30,6
Samosa (Veg, Fried),Snack,piece,80,260,5,30,14
Vada Pav,Snack,piece,120,290,8,40,10
Khaman Dhokla,Snack,100g,100,160,8,25,3
Bhel Puri,Snack,1 serving,150,250,5,45,6
Pani Puri,Snack,6 puris,100,150,3,30,3
Gulab Jamun,Sweet,2 pieces,50,160,3,25,6
Jalebi,Sweet,2 pieces,50,190,2,30,7
Gajar Halwa,Sweet,cup,150,320,5,45,15
Kaju Katli,Sweet,1 piece,20,100,2,15,4
Curd/Dahi (Full Fat),Dairy,cup,200,120,8,12,5
Paneer (Cottage Cheese),Dairy,100g,100,265,18,5,20
Ghee (Clarified Butter),Fat,tbsp,14,125,0,0,14
Apple,Fruit,piece,150,78,0.5,21,0.5
Banana,Fruit,piece,120,105,1.3,27,0.4
Mango,Fruit,piece,200,120,0.8,30,0.5
Potato (Cooked),Vegetable,100g,100,90,2,20,0.1
Spinach (Cooked),Vegetable,100g,100,45,3,4,2
Onion (Raw),Vegetable,100g,100,40,1,9,0.1
Tomato (Raw),Vegetable,100g,100,18,0.9,4,0.2
Tea (with milk/sugar),Beverage,cup,150,75,2,10,3
Black Coffee (Unsweetened),Beverage,cup,200,2,0.3,0,0
Coconut Water,Beverage,cup,250,45,0.5,10,0
Sugar,Sweetener,tsp,4,16,0,4,0
Salt,Seasoning,tsp,6,0,0,0,0
Oil (General Cooking),Fat,tbsp,14,125,0,0,14
Mustard Oil,Fat,tbsp,14,125,0,0,14
Besan (Chickpea Flour),Flour,100g,100,387,22,58,7
Maida (Refined Flour),Flour,100g,100,364,10,76,1